2023-07-23 14:47:31 Debug: Notice (1024): Please change the value of 'Security.salt' in app/config/core.php to a salt value specific to your application in [D:\Joshua\Programming\XAMPP_5.6\htdocs\fulgencio-cake-app\cake\libs\debugger.php, line 697]
2023-07-23 14:47:31 Debug: Notice (1024): Please change the value of 'Security.cipherSeed' in app/config/core.php to a numeric (digits only) seed value specific to your application in [D:\Joshua\Programming\XAMPP_5.6\htdocs\fulgencio-cake-app\cake\libs\debugger.php, line 701]
2023-07-24 02:10:18 Debug: Notice (1024): Please change the value of 'Security.salt' in app/config/core.php to a salt value specific to your application in [D:\Programs\xampp_5.6\htdocs\fulgencio-cake-app\cake\libs\debugger.php, line 697]
2023-07-24 02:10:18 Debug: Notice (1024): Please change the value of 'Security.cipherSeed' in app/config/core.php to a numeric (digits only) seed value specific to your application in [D:\Programs\xampp_5.6\htdocs\fulgencio-cake-app\cake\libs\debugger.php, line 701]
2023-07-24 02:11:11 Debug: Notice (1024): Please change the value of 'Security.salt' in app/config/core.php to a salt value specific to your application in [D:\Programs\xampp_5.6\htdocs\fulgencio-cake-app\cake\libs\debugger.php, line 697]
2023-07-24 02:11:11 Debug: Notice (1024): Please change the value of 'Security.cipherSeed' in app/config/core.php to a numeric (digits only) seed value specific to your application in [D:\Programs\xampp_5.6\htdocs\fulgencio-cake-app\cake\libs\debugger.php, line 701]
2023-07-24 03:52:45 Debug: Notice (8): Undefined property: PostsController::$User in [D:\Programs\xampp_5.6\htdocs\fulgencio-cake-app\app\controllers\posts_controller.php, line 13]
2023-07-24 03:52:52 Debug: Notice (8): Undefined property: PostsController::$User in [D:\Programs\xampp_5.6\htdocs\fulgencio-cake-app\app\controllers\posts_controller.php, line 13]
2023-07-24 06:28:45 Debug: Notice (8): Undefined property: View::$Auth in [D:\Programs\xampp_5.6\htdocs\fulgencio-cake-app\app\views\layouts\default.ctp, line 44]
2023-07-24 06:30:08 Debug: Notice (8): Undefined property: View::$Auth in [D:\Programs\xampp_5.6\htdocs\fulgencio-cake-app\app\views\layouts\default.ctp, line 44]
2023-07-24 06:30:22 Debug: Notice (8): Undefined property: View::$Auth in [D:\Programs\xampp_5.6\htdocs\fulgencio-cake-app\app\views\layouts\default.ctp, line 44]
2023-07-24 06:30:52 Debug: Notice (8): Undefined property: View::$Auth in [D:\Programs\xampp_5.6\htdocs\fulgencio-cake-app\app\views\layouts\default.ctp, line 44]
2023-07-24 06:30:52 Debug: Notice (8): Undefined property: View::$Auth in [D:\Programs\xampp_5.6\htdocs\fulgencio-cake-app\app\views\layouts\default.ctp, line 44]
2023-07-24 06:31:15 Debug: Notice (8): Undefined property: View::$Auth in [D:\Programs\xampp_5.6\htdocs\fulgencio-cake-app\app\views\layouts\default.ctp, line 44]
2023-07-24 06:31:15 Debug: Notice (8): Undefined property: View::$Auth in [D:\Programs\xampp_5.6\htdocs\fulgencio-cake-app\app\views\layouts\default.ctp, line 44]
2023-07-24 06:31:18 Debug: Notice (8): Undefined property: View::$Auth in [D:\Programs\xampp_5.6\htdocs\fulgencio-cake-app\app\views\layouts\default.ctp, line 44]
